"s1","s2","c1","d1","d2","d5","e1","e4","g1","g2","g6_01","g6_02","k2","k1","comp_i","w2r_i","tr_inst_i","risk_i","col_i","reg_i","sci_i","med_i"
1,50,0,2,1,7,4,3,5,0,0,0,10,0,10,10,2.5,1.5,6,3.5,4.66666666666667,5.66666666666667
1,53,0,9,0,5,4,10,9,0,1,1,7,0,7.5,5.5,8,3,7.5,9,7.33333333333333,2.33333333333333
1,53,1,8,0,2,10,9,6,0,0,0,0,0,6.75,8,8.5,2,6.5,5.5,9,5.66666666666667
1,39,1,9,0,8,3,8,9,1,0,0,6,0,7.25,7.5,7,1.5,6.5,8.5,6.33333333333333,4
0,20,1,8,0,0,1,7,5,1,0,0,1,0,7.5,9.5,7.5,2,3.5,6.5,7.33333333333333,8
0,53,0,10,0,2,5,10,1,1,0,0,2,0,7.5,10,8,2,10,8,10,10
1,31,1,3,1,2,6,2,2,0,0,0,8,0,9.25,10,0.5,2,6.5,4.5,8,3
0,19,0,8,0,2,4,8,5,0,1,0,3,1,7.5,10,5,1.5,2,7.5,7,9.33333333333333
1,35,0,7,0,2,4,6,7,0,0,0,3,0,8.75,10,6,1.5,6,5.5,9,5
0,33,1,4,1,4,1,3,7,0,0,0,7,0,7.75,10,5,2,7,8.5,4.66666666666667,5.66666666666667
0,24,1,6,0,7,3,6,6,1,1,1,5,1,6.75,6,6.5,1,6,6,5.66666666666667,3.66666666666667
0,29,0,8,0,7,2,8,4,0,1,1,8,0,8.25,8,8.5,2,6.5,7.5,5.66666666666667,3.66666666666667
1,39,0,7,1,0,3,4,4,1,1,1,8,1,10,10,2.5,2,6.5,8.5,6.66666666666667,1.66666666666667
0,62,1,10,1,2,5,10,3,1,1,1,1,0,9.75,1.5,5.5,2,6,1.5,8.66666666666667,2.66666666666667
1,45,1,7,1,0,0,10,8,0,1,0,8,0,10,10,0,0.5,9,10,10,4.33333333333333
0,24,1,7,0,0,8,7,8,0,0,0,0,0,6.75,7,6.5,1,7,7,8.66666666666667,8.33333333333333
0,35,0,8,0,4,4,8,6,0,1,0,5,1,10,8,7,1,7,9.5,7.33333333333333,4.33333333333333
1,68,0,7,0,0,7,7,5,1,1,0,0,0,10,9,2,2,8,6,7,5
1,27,1,8,0,3,5,8,7,0,1,0,3,0,7.25,7,6,1,7,1.5,4.66666666666667,8
1,21,0,6,0,1,2,6,5,1,1,1,1,0,6.75,10,4.5,1,7.5,7,7.66666666666667,3.66666666666667
1,55,0,8,1,1,4,7,5,0,1,1,0,0,10,10,0,1,9.5,2,8,2.66666666666667
1,34,1,7,0,5,1,7,3,0,0,1,5,0,8.25,2,7,2,4.5,4.5,10,8.33333333333333
0,32,1,2,0,4,2,5,3,1,1,1,6,1,7.5,7.5,4.5,1.5,4,5,5,6
0,69,1,0,1,2,1,0,5,1,1,1,9,0,7.5,10,0.5,2,10,5,6.33333333333333,4
1,20,1,3,1,6,5,4,5,1,1,1,8,1,4.75,4.5,5.5,1.5,6,5,7.33333333333333,5.33333333333333
1,21,0,4,0,4,4,2,4,1,1,1,3,1,2.5,4.5,6,1.5,4.5,4.5,0.666666666666667,9.66666666666667
0,23,1,8,1,4,4,7,6,0,1,1,4,0,10,9,5,1.5,7.5,7.5,7.33333333333333,4.33333333333333
1,72,0,3,0,5,5,7,5,0,0,0,4,0,10,10,5,1,5,6.5,8.33333333333333,10
1,53,1,5,0,5,8,5,5,0,1,0,10,0,9.25,9,4,2.5,8,5.5,7.66666666666667,2.66666666666667
0,63,1,10,1,2,0,7,7,1,0,0,2,0,10,10,4,2,7,5.5,8,5.33333333333333
0,66,0,8,0,6,5,3,6,1,1,1,10,1,10,9,5,0.5,7,6,7.66666666666667,3.66666666666667
1,72,0,5,1,3,0,2,6,1,0,0,9,0,8.5,10,1.5,0.5,5.5,7,7.66666666666667,4.66666666666667
1,68,1,7,0,4,2,4,7,1,1,1,9,0,8.5,8.5,3.5,2,5.5,9,5,6.33333333333333
1,74,0,10,1,2,6,10,8,0,0,0,2,0,10,10,8.5,2,10,9.5,9,10
1,73,1,7,0,0,2,7,6,0,1,0,2,0,9.5,9,6.5,1,10,6.5,8,9.33333333333333
1,70,0,8,0,4,6,8,6,0,0,0,2,0,8,7,7.5,0,8.5,7,8.33333333333333,7
0,48,1,8,1,5,6,6,5,1,1,1,2,0,9.75,9,2.5,1,9,2.5,8,5.33333333333333
0,56,0,3,1,5,0,1,5,1,0,0,10,0,10,1,0,1.5,3.5,6.5,6,2.66666666666667
1,75,0,5,0,6,3,6,6,1,0,0,5,1,8.5,8,5,1.5,5.5,5.5,7.33333333333333,5.33333333333333
0,67,0,8,0,2,5,8,5,0,1,1,3,0,10,8,4,3.5,6.5,5.5,7,9.33333333333333
1,63,0,8,0,4,2,8,3,0,1,1,0,0,9.25,6,4.5,2,9,6.5,4,10
